Position,E-Field,H-Field
-100,2.4492935982947064e-16,1
-99,0.06279051952931326,0.9980267284282716
-98,0.12533323356430465,0.9921147013144778
-97,0.18738131458572468,0.9822872507286887
-96,0.24868988716485535,0.968583161128631
-95,0.3090169943749477,0.9510565162951535
-94,0.36812455268467786,0.9297764858882515
-93,0.425779291565073,0.9048270524660194
-92,0.4817536741017161,0.8763066800438631
-91,0.5358267949789971,0.8443279255020147
-90,0.5877852522924734,0.8090169943749473
-89,0.6374239897486896,0.7705132427757894
-88,0.684547105928689,0.7289686274214112
-87,0.7289686274214121,0.684547105928688
-86,0.7705132427757896,0.6374239897486893
-85,0.8090169943749476,0.5877852522924729
-84,0.844327925502015,0.5358267949789968
-83,0.8763066800438634,0.4817536741017157
-82,0.9048270524660199,0.4257792915650718
-81,0.9297764858882516,0.3681245526846774
-80,0.9510565162951536,0.30901699437494723
-79,0.9685831611286311,0.24868988716485493
-78,0.9822872507286887,0.18738131458572427
-77,0.9921147013144779,0.12533323356430423
-76,0.9980267284282716,0.06279051952931283
-75,1,-1.8369701987210297e-16
-74,0.9980267284282716,-0.06279051952931321
-73,0.9921147013144778,-0.1253332335643046
-72,0.9822872507286887,-0.18738131458572463
-71,0.9685831611286312,-0.24868988716485443
-70,0.9510565162951535,-0.30901699437494756
-69,0.9297764858882515,-0.3681245526846778
-68,0.9048270524660198,-0.42577929156507216
-67,0.8763066800438636,-0.48175367410171527
-66,0.8443279255020153,-0.5358267949789963
-65,0.8090169943749473,-0.5877852522924732
-64,0.7705132427757894,-0.6374239897486895
-63,0.7289686274214116,-0.6845471059286886
-62,0.6845471059286884,-0.7289686274214118
-61,0.6374239897486896,-0.7705132427757893
-60,0.5877852522924727,-0.8090169943749478
-59,0.5358267949789964,-0.8443279255020152
-58,0.4817536741017154,-0.8763066800438635
-57,0.42577929156507227,-0.9048270524660197
-56,0.3681245526846779,-0.9297764858882515
-55,0.3090169943749473,-0.9510565162951536
-54,0.24868988716485457,-0.9685831611286312
-53,0.18738131458572477,-0.9822872507286886
-52,0.12533323356430429,-0.9921147013144779
-51,0.06279051952931335,-0.9980267284282716
-50,-1.2246467991473532e-16,-1
-49,-0.06279051952931358,-0.9980267284282716
-48,-0.12533323356430454,-0.9921147013144778
-47,-0.18738131458572457,-0.9822872507286887
-46,-0.24868988716485524,-0.968583161128631
-45,-0.3090169943749475,-0.9510565162951535
-44,-0.36812455268467814,-0.9297764858882513
-43,-0.4257792915650729,-0.9048270524660194
-42,-0.4817536741017152,-0.8763066800438636
-41,-0.535826794978997,-0.8443279255020149
-40,-0.5877852522924732,-0.8090169943749473
-39,-0.6374239897486899,-0.7705132427757891
-38,-0.6845471059286888,-0.7289686274214113
-37,-0.7289686274214114,-0.6845471059286887
-36,-0.7705132427757893,-0.6374239897486897
-35,-0.8090169943749475,-0.587785252292473
-34,-0.844327925502015,-0.5358267949789969
-33,-0.8763066800438635,-0.48175367410171543
-32,-0.9048270524660195,-0.4257792915650727
-31,-0.9297764858882515,-0.36812455268467775
-30,-0.9510565162951536,-0.3090169943749471
-29,-0.9685831611286311,-0.24868988716485485
-28,-0.9822872507286887,-0.1873813145857246
-27,-0.9921147013144779,-0.12533323356430415
-26,-0.9980267284282716,-0.0627905195293134
-25,-1,6.123233995736766e-17
-24,-0.9980267284282716,0.06279051952931353
-23,-0.9921147013144778,0.12533323356430448
-22,-0.9822872507286886,0.18738131458572474
-21,-0.9685831611286311,0.24868988716485474
-20,-0.9510565162951535,0.30901699437494745
-19,-0.9297764858882513,0.3681245526846781
-18,-0.9048270524660196,0.42577929156507266
-17,-0.8763066800438637,0.48175367410171516
-16,-0.8443279255020151,0.5358267949789965
-15,-0.8090169943749473,0.5877852522924732
-14,-0.7705132427757893,0.6374239897486897
-13,-0.7289686274214116,0.6845471059286886
-12,-0.6845471059286886,0.7289686274214116
-11,-0.6374239897486896,0.7705132427757893
-10,-0.5877852522924731,0.8090169943749475
-9,-0.5358267949789967,0.8443279255020151
-8,-0.4817536741017153,0.8763066800438636
-7,-0.42577929156507266,0.9048270524660196
-6,-0.3681245526846779,0.9297764858882515
-5,-0.3090169943749474,0.9510565162951535
-4,-0.2486898871648548,0.9685831611286311
-3,-0.1873813145857246,0.9822872507286887
-2,-0.12533323356430426,0.9921147013144779
-1,-0.06279051952931337,0.9980267284282716
0,0,1
1,0.06279051952931337,0.9980267284282716
2,0.12533323356430426,0.9921147013144779
3,0.1873813145857246,0.9822872507286887
4,0.2486898871648548,0.9685831611286311
5,0.3090169943749474,0.9510565162951535
6,0.3681245526846779,0.9297764858882515
7,0.42577929156507266,0.9048270524660196
8,0.4817536741017153,0.8763066800438636
9,0.5358267949789967,0.8443279255020151
10,0.5877852522924731,0.8090169943749475
11,0.6374239897486896,0.7705132427757893
12,0.6845471059286886,0.7289686274214116
13,0.7289686274214116,0.6845471059286886
14,0.7705132427757893,0.6374239897486897
15,0.8090169943749473,0.5877852522924732
16,0.8443279255020151,0.5358267949789965
17,0.8763066800438637,0.48175367410171516
18,0.9048270524660196,0.42577929156507266
19,0.9297764858882513,0.3681245526846781
20,0.9510565162951535,0.30901699437494745
21,0.9685831611286311,0.24868988716485474
22,0.9822872507286886,0.18738131458572474
23,0.9921147013144778,0.12533323356430448
24,0.9980267284282716,0.06279051952931353
25,1,6.123233995736766e-17
26,0.9980267284282716,-0.0627905195293134
27,0.9921147013144779,-0.12533323356430415
28,0.9822872507286887,-0.1873813145857246
29,0.9685831611286311,-0.24868988716485485
30,0.9510565162951536,-0.3090169943749471
31,0.9297764858882515,-0.36812455268467775
32,0.9048270524660195,-0.4257792915650727
33,0.8763066800438635,-0.48175367410171543
34,0.844327925502015,-0.5358267949789969
35,0.8090169943749475,-0.587785252292473
36,0.7705132427757893,-0.6374239897486897
37,0.7289686274214114,-0.6845471059286887
38,0.6845471059286888,-0.7289686274214113
39,0.6374239897486899,-0.7705132427757891
40,0.5877852522924732,-0.8090169943749473
41,0.535826794978997,-0.8443279255020149
42,0.4817536741017152,-0.8763066800438636
43,0.4257792915650729,-0.9048270524660194
44,0.36812455268467814,-0.9297764858882513
45,0.3090169943749475,-0.9510565162951535
46,0.24868988716485524,-0.968583161128631
47,0.18738131458572457,-0.9822872507286887
48,0.12533323356430454,-0.9921147013144778
49,0.06279051952931358,-0.9980267284282716
50,1.2246467991473532e-16,-1
51,-0.06279051952931335,-0.9980267284282716
52,-0.12533323356430429,-0.9921147013144779
53,-0.18738131458572477,-0.9822872507286886
54,-0.24868988716485457,-0.9685831611286312
55,-0.3090169943749473,-0.9510565162951536
56,-0.3681245526846779,-0.9297764858882515
57,-0.42577929156507227,-0.9048270524660197
58,-0.4817536741017154,-0.8763066800438635
59,-0.5358267949789964,-0.8443279255020152
60,-0.5877852522924727,-0.8090169943749478
61,-0.6374239897486896,-0.7705132427757893
62,-0.6845471059286884,-0.7289686274214118
63,-0.7289686274214116,-0.6845471059286886
64,-0.7705132427757894,-0.6374239897486895
65,-0.8090169943749473,-0.5877852522924732
66,-0.8443279255020153,-0.5358267949789963
67,-0.8763066800438636,-0.48175367410171527
68,-0.9048270524660198,-0.42577929156507216
69,-0.9297764858882515,-0.3681245526846778
70,-0.9510565162951535,-0.30901699437494756
71,-0.9685831611286312,-0.24868988716485443
72,-0.9822872507286887,-0.18738131458572463
73,-0.9921147013144778,-0.1253332335643046
74,-0.9980267284282716,-0.06279051952931321
75,-1,-1.8369701987210297e-16
76,-0.9980267284282716,0.06279051952931283
77,-0.9921147013144779,0.12533323356430423
78,-0.9822872507286887,0.18738131458572427
79,-0.9685831611286311,0.24868988716485493
80,-0.9510565162951536,0.30901699437494723
81,-0.9297764858882516,0.3681245526846774
82,-0.9048270524660199,0.4257792915650718
83,-0.8763066800438634,0.4817536741017157
84,-0.844327925502015,0.5358267949789968
85,-0.8090169943749476,0.5877852522924729
86,-0.7705132427757896,0.6374239897486893
87,-0.7289686274214121,0.684547105928688
88,-0.684547105928689,0.7289686274214112
89,-0.6374239897486896,0.7705132427757894
90,-0.5877852522924734,0.8090169943749473
91,-0.5358267949789971,0.8443279255020147
92,-0.4817536741017161,0.8763066800438631
93,-0.425779291565073,0.9048270524660194
94,-0.36812455268467786,0.9297764858882515
95,-0.3090169943749477,0.9510565162951535
96,-0.24868988716485535,0.968583161128631
97,-0.18738131458572468,0.9822872507286887
98,-0.12533323356430465,0.9921147013144778
99,-0.06279051952931326,0.9980267284282716
100,-2.4492935982947064e-16,1
